intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
5,23231541,2020-07-07T00:00:00/2020-07-08T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007070000,TrafficFlowObserved,bicycle,false
1173,23231541,2020-07-08T00:00:00/2020-07-09T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007080000,TrafficFlowObserved,bicycle,false
1047,23231541,2020-07-09T00:00:00/2020-07-10T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007090000,TrafficFlowObserved,bicycle,false
1046,23231541,2020-07-10T00:00:00/2020-07-11T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007100000,TrafficFlowObserved,bicycle,false
600,23231541,2020-07-11T00:00:00/2020-07-12T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007110000,TrafficFlowObserved,bicycle,false
349,23231541,2020-07-12T00:00:00/2020-07-13T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007120000,TrafficFlowObserved,bicycle,false
638,23231541,2020-07-13T00:00:00/2020-07-14T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007130000,TrafficFlowObserved,bicycle,false
501,23231541,2020-07-14T00:00:00/2020-07-15T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007140000,TrafficFlowObserved,bicycle,false
999,23231541,2020-07-15T00:00:00/2020-07-16T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007150000,TrafficFlowObserved,bicycle,false
1045,23231541,2020-07-16T00:00:00/2020-07-17T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007160000,TrafficFlowObserved,bicycle,false
995,23231541,2020-07-17T00:00:00/2020-07-18T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007170000,TrafficFlowObserved,bicycle,false
583,23231541,2020-07-18T00:00:00/2020-07-19T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007180000,TrafficFlowObserved,bicycle,false
410,23231541,2020-07-19T00:00:00/2020-07-20T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007190000,TrafficFlowObserved,bicycle,false
959,23231541,2020-07-20T00:00:00/2020-07-21T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007200000,TrafficFlowObserved,bicycle,false
1062,23231541,2020-07-21T00:00:00/2020-07-22T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007210000,TrafficFlowObserved,bicycle,false
1016,23231541,2020-07-22T00:00:00/2020-07-23T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007220000,TrafficFlowObserved,bicycle,false
881,23231541,2020-07-23T00:00:00/2020-07-24T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007230000,TrafficFlowObserved,bicycle,false
945,23231541,2020-07-24T00:00:00/2020-07-25T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007240000,TrafficFlowObserved,bicycle,false
588,23231541,2020-07-25T00:00:00/2020-07-26T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007250000,TrafficFlowObserved,bicycle,false
366,23231541,2020-07-26T00:00:00/2020-07-27T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007260000,TrafficFlowObserved,bicycle,false
844,23231541,2020-07-27T00:00:00/2020-07-28T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007270000,TrafficFlowObserved,bicycle,false
934,23231541,2020-07-28T00:00:00/2020-07-29T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007280000,TrafficFlowObserved,bicycle,false
877,23231541,2020-07-29T00:00:00/2020-07-30T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007290000,TrafficFlowObserved,bicycle,false
859,23231541,2020-07-30T00:00:00/2020-07-31T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007300000,TrafficFlowObserved,bicycle,false
841,23231541,2020-07-31T00:00:00/2020-08-01T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202007310000,TrafficFlowObserved,bicycle,false
556,23231541,2020-08-01T00:00:00/2020-08-02T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008010000,TrafficFlowObserved,bicycle,false
389,23231541,2020-08-02T00:00:00/2020-08-03T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008020000,TrafficFlowObserved,bicycle,false
689,23231541,2020-08-03T00:00:00/2020-08-04T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008030000,TrafficFlowObserved,bicycle,false
772,23231541,2020-08-04T00:00:00/2020-08-05T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008040000,TrafficFlowObserved,bicycle,false
754,23231541,2020-08-05T00:00:00/2020-08-06T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008050000,TrafficFlowObserved,bicycle,false
687,23231541,2020-08-06T00:00:00/2020-08-07T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008060000,TrafficFlowObserved,bicycle,false
608,23231541,2020-08-07T00:00:00/2020-08-08T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008070000,TrafficFlowObserved,bicycle,false
505,23231541,2020-08-08T00:00:00/2020-08-09T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008080000,TrafficFlowObserved,bicycle,false
333,23231541,2020-08-09T00:00:00/2020-08-10T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008090000,TrafficFlowObserved,bicycle,false
591,23231541,2020-08-10T00:00:00/2020-08-11T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008100000,TrafficFlowObserved,bicycle,false
739,23231541,2020-08-11T00:00:00/2020-08-12T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008110000,TrafficFlowObserved,bicycle,false
682,23231541,2020-08-12T00:00:00/2020-08-13T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008120000,TrafficFlowObserved,bicycle,false
623,23231541,2020-08-13T00:00:00/2020-08-14T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008130000,TrafficFlowObserved,bicycle,false
631,23231541,2020-08-14T00:00:00/2020-08-15T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008140000,TrafficFlowObserved,bicycle,false
480,23231541,2020-08-15T00:00:00/2020-08-16T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008150000,TrafficFlowObserved,bicycle,false
274,23231541,2020-08-16T00:00:00/2020-08-17T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008160000,TrafficFlowObserved,bicycle,false
635,23231541,2020-08-17T00:00:00/2020-08-18T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008170000,TrafficFlowObserved,bicycle,false
802,23231541,2020-08-18T00:00:00/2020-08-19T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008180000,TrafficFlowObserved,bicycle,false
729,23231541,2020-08-19T00:00:00/2020-08-20T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008190000,TrafficFlowObserved,bicycle,false
765,23231541,2020-08-20T00:00:00/2020-08-21T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008200000,TrafficFlowObserved,bicycle,false
748,23231541,2020-08-21T00:00:00/2020-08-22T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008210000,TrafficFlowObserved,bicycle,false
520,23231541,2020-08-22T00:00:00/2020-08-23T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008220000,TrafficFlowObserved,bicycle,false
430,23231541,2020-08-23T00:00:00/2020-08-24T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008230000,TrafficFlowObserved,bicycle,false
960,23231541,2020-08-24T00:00:00/2020-08-25T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008240000,TrafficFlowObserved,bicycle,false
1079,23231541,2020-08-25T00:00:00/2020-08-26T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008250000,TrafficFlowObserved,bicycle,false
1033,23231541,2020-08-26T00:00:00/2020-08-27T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008260000,TrafficFlowObserved,bicycle,false
1053,23231541,2020-08-27T00:00:00/2020-08-28T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008270000,TrafficFlowObserved,bicycle,false
952,23231541,2020-08-28T00:00:00/2020-08-29T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008280000,TrafficFlowObserved,bicycle,false
633,23231541,2020-08-29T00:00:00/2020-08-30T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008290000,TrafficFlowObserved,bicycle,false
434,23231541,2020-08-30T00:00:00/2020-08-31T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008300000,TrafficFlowObserved,bicycle,false
1193,23231541,2020-08-31T00:00:00/2020-09-01T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202008310000,TrafficFlowObserved,bicycle,false
1463,23231541,2020-09-01T00:00:00/2020-09-02T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009010000,TrafficFlowObserved,bicycle,false
1355,23231541,2020-09-02T00:00:00/2020-09-03T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009020000,TrafficFlowObserved,bicycle,false
1447,23231541,2020-09-03T00:00:00/2020-09-04T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009030000,TrafficFlowObserved,bicycle,false
1374,23231541,2020-09-04T00:00:00/2020-09-05T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009040000,TrafficFlowObserved,bicycle,false
826,23231541,2020-09-05T00:00:00/2020-09-06T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009050000,TrafficFlowObserved,bicycle,false
473,23231541,2020-09-06T00:00:00/2020-09-07T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009060000,TrafficFlowObserved,bicycle,false
1519,23231541,2020-09-07T00:00:00/2020-09-08T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009070000,TrafficFlowObserved,bicycle,false
1667,23231541,2020-09-08T00:00:00/2020-09-09T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009080000,TrafficFlowObserved,bicycle,false
1326,23231541,2020-09-09T00:00:00/2020-09-10T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009090000,TrafficFlowObserved,bicycle,false
1490,23231541,2020-09-10T00:00:00/2020-09-11T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009100000,TrafficFlowObserved,bicycle,false
1508,23231541,2020-09-11T00:00:00/2020-09-12T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009110000,TrafficFlowObserved,bicycle,false
887,23231541,2020-09-12T00:00:00/2020-09-13T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009120000,TrafficFlowObserved,bicycle,false
538,23231541,2020-09-13T00:00:00/2020-09-14T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009130000,TrafficFlowObserved,bicycle,false
1605,23231541,2020-09-14T00:00:00/2020-09-15T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009140000,TrafficFlowObserved,bicycle,false
1884,23231541,2020-09-15T00:00:00/2020-09-16T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009150000,TrafficFlowObserved,bicycle,false
1657,23231541,2020-09-16T00:00:00/2020-09-17T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009160000,TrafficFlowObserved,bicycle,false
1807,23231541,2020-09-17T00:00:00/2020-09-18T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009170000,TrafficFlowObserved,bicycle,false
1585,23231541,2020-09-18T00:00:00/2020-09-19T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009180000,TrafficFlowObserved,bicycle,false
659,23231541,2020-09-19T00:00:00/2020-09-20T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009190000,TrafficFlowObserved,bicycle,false
557,23231541,2020-09-20T00:00:00/2020-09-21T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009200000,TrafficFlowObserved,bicycle,false
1680,23231541,2020-09-21T00:00:00/2020-09-22T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009210000,TrafficFlowObserved,bicycle,false
1619,23231541,2020-09-22T00:00:00/2020-09-23T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009220000,TrafficFlowObserved,bicycle,false
1717,23231541,2020-09-23T00:00:00/2020-09-24T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009230000,TrafficFlowObserved,bicycle,false
1646,23231541,2020-09-24T00:00:00/2020-09-25T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009240000,TrafficFlowObserved,bicycle,false
1478,23231541,2020-09-25T00:00:00/2020-09-26T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009250000,TrafficFlowObserved,bicycle,false
771,23231541,2020-09-26T00:00:00/2020-09-27T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009260000,TrafficFlowObserved,bicycle,false
424,23231541,2020-09-27T00:00:00/2020-09-28T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009270000,TrafficFlowObserved,bicycle,false
1441,23231541,2020-09-28T00:00:00/2020-09-29T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009280000,TrafficFlowObserved,bicycle,false
1789,23231541,2020-09-29T00:00:00/2020-09-30T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009290000,TrafficFlowObserved,bicycle,false
1711,23231541,2020-09-30T00:00:00/2020-10-01T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202009300000,TrafficFlowObserved,bicycle,false
1679,23231541,2020-10-01T00:00:00/2020-10-02T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202010010000,TrafficFlowObserved,bicycle,false
1173,23231541,2020-10-02T00:00:00/2020-10-03T00:00:00,3.8684671,43.6138841,Point,MMM_EcoCompt_X2H20063162_202010020000,TrafficFlowObserved,bicycle,false
